id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
4400,2026-06-02,02:30:00,0.0,8.0,W,W
4401,2026-06-02,02:45:00,1.6,6.4,WSW,WNW
4402,2026-06-02,03:00:00,1.6,8.0,W,W
4403,2026-06-02,03:15:00,1.6,6.4,WNW,WNW
4404,2026-06-02,03:30:00,1.6,9.7,NNW,NW
4405,2026-06-02,03:45:00,0.0,8.0,NNW,NW
4406,2026-06-02,04:00:00,0.0,3.2,NW,NW
4407,2026-06-02,04:15:00,0.0,3.2,NW,NW
4408,2026-06-02,04:30:00,0.0,1.6,NNE,N
4409,2026-06-02,04:45:00,0.0,3.2,W,W
4410,2026-06-02,05:00:00,0.0,3.2,WSW,WSW
4411,2026-06-02,05:15:00,0.0,1.6,ESE,ESE
4412,2026-06-02,05:30:00,0.0,3.2,NW,NW
4413,2026-06-02,05:45:00,0.0,1.6,N,N
4414,2026-06-02,06:00:00,0.0,3.2,NNW,NNW
4415,2026-06-02,06:15:00,0.0,4.8,WNW,NW
4416,2026-06-02,06:30:00,0.0,3.2,W,NNW
4417,2026-06-02,06:45:00,0.0,1.6,NNW,NE
4418,2026-06-02,07:00:00,0.0,1.6,ESE,ESE
4419,2026-06-02,07:15:00,1.6,8.0,W,WNW
4420,2026-06-02,07:30:00,0.0,4.8,NNW,SE
4421,2026-06-02,07:45:00,0.0,4.8,NE,NNE
4422,2026-06-02,08:00:00,0.0,4.8,NW,NW
4423,2026-06-02,08:15:00,0.0,3.2,NNW,NNW
4424,2026-06-02,08:30:00,0.0,4.8,NNE,NE
4425,2026-06-02,08:45:00,1.6,6.4,SE,SSE
4426,2026-06-02,09:00:00,1.6,6.4,N,NNE
4427,2026-06-02,09:15:00,1.6,8.0,NNW,NW
4428,2026-06-02,09:30:00,1.6,6.4,WNW,WNW
4429,2026-06-02,09:45:00,0.0,6.4,W,ESE
4430,2026-06-02,10:00:00,1.6,8.0,SSE,SSE
4431,2026-06-02,10:15:00,1.6,6.4,SSE,SSE
4432,2026-06-02,10:30:00,1.6,4.8,SSE,SSE
4433,2026-06-02,10:45:00,1.6,4.8,SSE,NNW
4434,2026-06-02,11:00:00,1.6,8.0,WNW,NNE
4435,2026-06-02,11:15:00,1.6,8.0,N,NNE
4436,2026-06-02,11:30:00,3.2,11.3,NE,NNE
4437,2026-06-02,11:45:00,1.6,6.4,W,S
4438,2026-06-02,12:00:00,3.2,12.9,NNW,NNE
