id,fecha,hora,presion_hpa,variacion_hpa,tendencia
4296,2026-06-01,00:15:00,768.3,0.2,Creciente
4297,2026-06-01,00:30:00,768.4,0.1,Creciente
4298,2026-06-01,00:45:00,768.3,-0.1,Descendente
4299,2026-06-01,01:00:00,768.4,0.1,Creciente
4300,2026-06-01,01:15:00,768.5,0.1,Creciente
4301,2026-06-01,01:30:00,768.5,0.0,Estable
4302,2026-06-01,01:45:00,768.4,-0.1,Descendente
4303,2026-06-01,02:00:00,768.3,-0.1,Descendente
4304,2026-06-01,02:15:00,768.3,0.0,Estable
4305,2026-06-01,02:30:00,768.3,0.0,Estable
4306,2026-06-01,02:45:00,768.5,0.2,Creciente
4307,2026-06-01,03:00:00,768.7,0.2,Creciente
4308,2026-06-01,03:15:00,768.7,0.0,Estable
4309,2026-06-01,03:30:00,768.7,0.0,Estable
4310,2026-06-01,03:45:00,768.8,0.1,Creciente
4311,2026-06-01,04:00:00,769.0,0.2,Creciente
4312,2026-06-01,04:15:00,769.1,0.1,Creciente
4313,2026-06-01,04:30:00,769.2,0.1,Creciente
4314,2026-06-01,04:45:00,769.2,0.0,Estable
4315,2026-06-01,05:00:00,769.2,0.0,Estable
4316,2026-06-01,05:15:00,769.4,0.2,Creciente
4317,2026-06-01,05:30:00,769.6,0.2,Creciente
4318,2026-06-01,05:45:00,769.7,0.1,Creciente
4319,2026-06-01,06:00:00,769.7,0.0,Estable
4320,2026-06-01,06:15:00,769.6,-0.1,Descendente
4321,2026-06-01,06:30:00,769.6,0.0,Estable
4322,2026-06-01,06:45:00,769.7,0.1,Creciente
4323,2026-06-01,07:00:00,769.7,0.0,Estable
4324,2026-06-01,07:15:00,769.9,0.2,Creciente
4325,2026-06-01,07:30:00,769.8,-0.1,Descendente
4326,2026-06-01,07:45:00,769.8,0.0,Estable
4327,2026-06-01,08:00:00,769.7,-0.1,Descendente
4328,2026-06-01,08:15:00,769.7,0.0,Estable
4329,2026-06-01,08:30:00,769.5,-0.2,Descendente
4330,2026-06-01,08:45:00,769.4,-0.1,Descendente
4331,2026-06-01,09:00:00,769.3,-0.1,Descendente
